指标序号,中文名,英文名,业务定义,计算公式,数据来源,时间字段,统计粒度,订单状态范围,去重字段,空值和异常处理,对应SQL,使用限制
1,GMV,Gross Merchandise Value (GMV),在指定时间窗口内，所有有效支付且已送达订单的订单级支付金额总和，用于衡量平台成交金额规模。,先筛选 payment_value > 0 的支付记录并按 order_id 汇总得到 order_payment_amount；GMV = SUM(order_payment_amount)。,orders.order_id、orders.order_status、orders.order_purchase_timestamp；order_payments.order_id、order_payments.payment_value。,orders.order_purchase_timestamp。,支付明细先聚合到订单级，再按统计周期汇总。,orders.order_status = 'delivered'，且订单级有效支付金额大于 0。,orders.order_id。,排除 payment_value 为空、等于 0 或小于 0 的记录；没有有效支付记录的订单不产生 GMV。,sql/03_metrics/core_metrics.sql。,不得将支付表与订单明细、评论等其他一对多表直接连接后汇总，否则会放大金额。GMV 与商品销售额不是同一口径。 ---
2,有效订单量,Valid Order Count,在指定时间窗口内，状态为 delivered 的去重订单数量。,COUNT(DISTINCT orders.order_id)。,orders.order_id、orders.order_status、orders.order_purchase_timestamp。,orders.order_purchase_timestamp。,订单级。,orders.order_status = 'delivered'。,orders.order_id。,order_id 为空的记录不计入；不受支付、商品明细或评论记录是否存在影响。,sql/03_metrics/core_metrics.sql。,不能使用支付记录数、商品明细行数或评论行数代替订单数。 ---
3,客单价,Average Order Value (AOV),在指定时间窗口内，有效支付且已送达订单的支付金额总和除以有效支付订单量。,SUM(order_payment_amount) / COUNT(DISTINCT paid_order_id)。,orders.order_id、orders.order_status、orders.order_purchase_timestamp；order_payments.order_id、order_payments.payment_value。,orders.order_purchase_timestamp。,支付明细先聚合到订单级，再整体或按统计周期汇总。,orders.order_status = 'delivered'，且订单级有效支付金额大于 0。,orders.order_id。,排除无有效支付、支付金额为空或非正的订单；分母为 0 时返回 NULL。,sql/03_metrics/derived_metrics.sql。,不得使用 GMV 除以全部 delivered 订单量；分母必须与“支付订单量”完全一致。 ---
4,支付订单量,Paid Order Count,在指定时间窗口内，状态为 delivered，且订单级有效支付金额大于 0 的去重订单数量。,先筛选 payment_value > 0 并按 order_id 汇总；支付订单量 = COUNT(DISTINCT order_id)。,orders.order_id、orders.order_status、orders.order_purchase_timestamp；order_payments.order_id、order_payments.payment_value。,orders.order_purchase_timestamp。,支付明细先聚合到订单级。,orders.order_status = 'delivered'，且订单级有效支付金额大于 0。,orders.order_id。,排除 payment_value 为空、等于 0 或小于 0 的记录；订单级金额必须大于 0。,sql/03_metrics/core_metrics.sql。,不得直接使用支付明细行数作为支付订单量。 ---
5,活跃用户数,Active Customer Count,在指定时间窗口内，至少产生 1 笔有效订单的去重用户数量。,COUNT(DISTINCT customers.customer_unique_id)。,orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,用户级。,orders.order_status = 'delivered'。,customers.customer_unique_id。,先通过 customer_id 连接，再按 customer_unique_id 去重；用户标识为空的记录不计入。,sql/03_metrics/core_metrics.sql。,不代表平台注册用户数；不得使用 customer_id 作为最终用户去重字段。 ---
6,新增用户数,New Customer Count,在指定自然月内，首次产生有效订单的去重用户数量。,用户首购时间 = MIN(order_purchase_timestamp)；新增用户数 = 首购月份等于统计月份的用户数。,orders.order_id、orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,自然月 × 用户首购。,仅使用 orders.order_status = 'delivered' 的订单确定首购时间。,customers.customer_unique_id。,用户标识或下单时间为空的不计入；首购时间必须基于完整历史计算；同一用户只属于一个首购月份。,sql/03_metrics/core_metrics.sql。,不代表注册用户数；观察期开始前的历史缺失可能导致存量用户被误判为新增用户。 ---
7,复购用户数,Repeat Customer Count,在指定时间窗口内，拥有至少 2 笔有效订单的去重用户数量。,按用户统计 COUNT(DISTINCT order_id)；订单数大于等于 2 的用户计为复购用户。,orders.order_id、orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,用户级汇总后整体或按统计周期汇总。,orders.order_status = 'delivered'。,customers.customer_unique_id；订单使用 orders.order_id 去重。,用户标识为空的不计入；同一订单只计 1 次。,sql/03_metrics/core_metrics.sql。,当前口径为统计窗口内复购用户数，不等同于历史累计复购用户数。 ---
8,复购率,Repeat Purchase Rate,在指定时间窗口内，复购用户数占至少拥有 1 笔有效订单用户数的比例。,复购用户数 / 活跃用户数。,orders.order_id、orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,用户级汇总后整体或按统计周期汇总。,orders.order_status = 'delivered'。,customers.customer_unique_id；订单使用 orders.order_id 去重。,用户标识为空的不计入；分母为 0 时返回 NULL。,sql/03_metrics/derived_metrics.sql。,统计窗口内复购率与历史累计复购率不可混用。 ---
9,用户留存率,Customer Retention Rate,以用户首购自然月为 cohort，衡量该 cohort 在第 N 个自然月再次产生有效订单的用户比例。,第 N 月留存用户数 / cohort 用户总数。,orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,首购月份 × 留存月序号。,orders.order_status = 'delivered'。,customers.customer_unique_id；同一用户在同一自然月只计 1 次。,用户标识或时间为空的不计入；首购月基于完整历史；仅纳入已完整经历 N 个月的 cohort；分母为 0 时返回 NULL。,sql/03_metrics/derived_metrics.sql。,本指标为自然月 cohort 留存，不得与 7 日、30 日或 90 日留存混用；较新 cohort 存在右截尾。 ---
10,用户生命周期价值（LTV）,Customer Lifetime Value (LTV),在当前数据观察期内，每名用户累计贡献的有效支付金额的平均值，属于收入型观察期 LTV。,先按用户汇总其全部有效支付订单金额得到 customer_lifetime_revenue；LTV = AVG(customer_lifetime_revenue)。,orders.order_id、orders.customer_id、orders.order_status、orders.order_purchase_timestamp；order_payments.order_id、order_payments.payment_value；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp，用于限定观察期；用户累计价值在观察期内汇总。,支付明细先聚合到订单级，再聚合到用户级，最后整体汇总。,orders.order_status = 'delivered'，且订单级有效支付金额大于 0。,customers.customer_unique_id；订单使用 orders.order_id 去重。,排除无有效支付、用户标识为空的记录；支付金额先按订单聚合；分母为 0 时返回 NULL。,sql/03_metrics/derived_metrics.sql。,该指标是收入型、观察期 LTV，不是利润型 LTV；未扣除成本、退款和获客成本，且受数据观察期右截尾影响。 ---
11,平均购买频次,Average Purchase Frequency,在指定时间窗口内，每名活跃用户平均产生的有效订单数量。,有效订单量 / 活跃用户数。,orders.order_id、orders.customer_id、orders.order_status、orders.order_purchase_timestamp；customers.customer_id、customers.customer_unique_id。,orders.order_purchase_timestamp。,统计周期整体，底层为订单级和用户级。,orders.order_status = 'delivered'。,订单使用 orders.order_id；用户使用 customers.customer_unique_id。,用户标识为空的不计入活跃用户；活跃用户数为 0 时返回 NULL。,sql/03_metrics/derived_metrics.sql。,必须明确统计窗口；不得与用户完整生命周期累计购买频次混用。 ---
